model,pr_auc,roc_auc,brier,lift_top_decile
logistic,0.6660185513048891,0.7678467247268767,0.1851649410860255,1.9758288497010028
lightgbm,0.6584272771980236,0.7678250456340865,0.19694692191303098,1.879841217683163
baseline_segment_uf_rate,0.5234731599370757,0.6554333837345478,0.2206701947750475,1.5382662113257237
baseline_majority,0.3940458398585753,0.5,0.2393727925666773,1.3339667684781302
